 Obs_ID ,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33, default 
 2.00 ," 31,065.39 "," 5,644.66 "," 24,706.41 ", 0.09 , (0.00), 0.19 , 0.45 , 0.57 , 0.48 , 0.25 , 0.03 , 0.85 , 0.19 ," (1,496.58)", 1.30 ," (18,243.22)", (0.31), 130.46 , 31.17 , 1.09 , 108.01 , 0.57 , 0.13 , 0.01 , 5.38 , (0.84), (0.54), (0.25), (0.25), 0.34 , 2.75 , 0.33 , 0.07 , -   
 3.00 ," 384,939.62 "," 160,271.28 "," 300,594.10 ", 0.11 , 0.31 , 0.64 , 0.62 , 0.56 , 1.06 , 0.82 , 0.27 , 1.25 , 0.74 ," 17,010.59 ", 2.44 ," 10,374.65 ", 0.10 , 79.16 , 19.53 , 0.76 , -   , 0.04 , -   , 3.84 , 1.38 , 41.60 , 91.00 , 104.50 , 101.35 , 12.83 , 107.26 , 25.38 , 0.01 , -   
 4.00 ," 35,594.84 "," 8,098.99 "," 37,959.10 ", (0.19), 0.08 , 1.35 , 1.19 , 0.92 , 1.61 , 1.52 , (0.64), 1.99 , 1.36 ," 12,013.39 ", 1.49 ," 16,724.11 ", 0.35 , 1.06 , 111.09 , 1.07 , -   , -   , -   , -   , (2.90), 2.55 , 0.55 , 0.69 , 0.68 , 0.68 , 4.21 , (0.01), 0.01 , -   
 5.00 ," 159,580.10 "," 37,215.72 "," 92,530.89 ", (0.00), (0.08), 0.56 , 0.62 , 0.49 , 1.27 , 1.18 , 0.03 , 1.61 , 0.95 ," 29,875.31 ", 1.65 ," 15,843.63 ", 0.15 , 26.54 , 2.00 , 0.99 , -   , 0.13 , 0.21 , 2.89 , (0.04), (0.84), (0.09), 0.20 , 0.21 , 2.01 , 4.77 , 0.27 , 0.01 , -   
 6.00 ," 84,295.44 "," 17,982.95 "," 41,495.76 ", 0.03 , 0.11 , 0.68 , 0.34 , 0.31 , 0.67 , 0.86 , (0.00), 0.78 , 0.70 ," (1,278.44)", (9.32), 628.21 , (0.17), 112.35 , 2.15 , 0.40 , 32.53 , 0.57 , 0.52 , 9.27 , -   , 0.63 , 0.17 , 0.34 , 0.33 , (0.13), 3.53 , 0.77 , 0.05 , -   
 8.00 ," 87,468.87 "," 27,247.45 "," 18,252.09 ", (0.08), 0.05 , 1.33 , 2.84 , 0.98 , 4.61 , 1.60 , (0.49), 5.20 , 1.47 ," 61,458.03 ", 2.90 ," 53,506.47 ", 0.66 , 10.01 , 64.60 , 0.75 , -   , 0.03 , 0.03 , -   , -   , 4.05 , 0.29 , 0.34 , 0.33 , 19.57 , 11.74 , 1.68 , 0.01 , -   
 9.00 ," 26,084.75 ", 328.18 ," 28,873.13 ", 0.13 , 0.02 , 0.17 , 0.34 , 0.19 , 0.48 , 0.25 , 0.50 , 1.15 , 0.19 ," 2,141.37 ", 33.50 ," (12,057.35)", (0.31), 26.81 , 2.35 , 0.90 , -   , 0.17 , -   , -   , -   , 7.27 , 0.29 , 0.81 , 0.82 , 51.53 , 113.19 , 10.07 , 0.03 , -   
 10.00 ," 21,720.06 "," 7,566.96 "," 15,807.19 ", (0.30), (0.08), 0.67 , 1.03 , 0.70 , 1.05 , 0.81 , (0.64), 1.99 , 0.74 ," 8,770.66 ", 2.03 ," 3,811.82 ", 0.15 , 98.54 , 6.62 , 0.74 , 58.52 , 0.30 , 0.04 , 0.01 , (4.38), (0.84), (0.54), (0.25), (0.25), 0.84 , 2.19 , (0.00), 0.02 , -   
 11.00 ," 384,939.62 "," 114,705.25 "," 147,352.55 ", (0.02), 0.06 , 0.29 , 1.03 , 0.19 , 1.31 , 0.74 , (0.01), 0.85 , 0.50 ," 7,976.92 ", 7.37 ," 19,074.66 ", 0.02 , 4.87 , 0.55 , 0.42 , -   , 0.35 , 0.52 , 9.27 , 5.38 , 0.57 , 2.05 , 6.09 , 5.93 , 1.74 , 51.15 , 14.24 , 0.01 , -   
 13.00 ," 31,012.26 "," 2,896.45 "," 8,797.42 ", (0.05), (0.08), 0.63 , 0.57 , 0.39 , 0.48 , 0.78 , (0.24), 0.81 , 0.86 ," (8,913.97)", (22.90)," (18,243.22)", (0.31), 12.16 , 4.94 , 0.24 , 22.59 , 0.47 , 0.52 , 0.69 , -   , (0.84), (0.54), (0.25), (0.25), (0.30), (5.55), 0.24 , 0.07 , -   
 14.00 ," 173,073.79 "," 18,774.12 "," 151,619.60 ", 0.06 , 0.09 , 0.34 , 0.90 , 0.98 , 0.96 , 0.44 , 0.14 , 1.33 , 0.64 ," 24,375.62 ", 4.50 ," 8,242.43 ", 0.13 , 188.03 , 18.32 , 0.99 , -   , 0.16 , 0.10 , 0.04 , -   , 4.71 , 1.07 , 2.68 , 3.37 , 5.21 , 6.28 , 1.08 , 0.02 , -   
 16.00 ," 4,429.99 ", 298.85 ," 7,577.11 ", 0.58 , 0.06 , 0.64 , 0.86 , 0.47 , 0.81 , 0.68 , 1.06 , 1.88 , 0.86 , (306.90), 3.92 ," (18,243.22)", (0.04), 1.39 , 16.65 , 1.67 , -   , -   , -   , (0.54), 0.85 , 11.87 , 0.57 , 0.93 , 0.94 , 158.61 , 45.16 , 18.85 , 0.00 , -   
 17.00 ," 26,507.04 ", 32.43 ," 39,332.45 ", 0.10 , 0.02 , 0.60 , 1.06 , 0.98 , 1.33 , 0.94 , 0.14 , 1.07 , 0.85 ," 1,828.88 ", (2.57)," 3,298.83 ", 0.35 , 11.55 , 221.87 , 1.36 , 22.63 , 0.11 , -   , -   , -   , 0.95 , 0.17 , 0.33 , 0.29 , (0.35), 1.32 , (0.18), 0.00 , -   
 18.00 ," 9,117.99 "," 2,358.38 "," 14,223.36 ", 0.17 , 0.13 , 3.21 , 2.53 , 0.97 , 4.11 , 3.58 , 0.22 , 2.83 , 3.44 ," 16,676.50 ", 1.12 ," 15,060.06 ", 0.54 , 0.93 , 50.77 , 1.83 , -   , -   , -   , (0.54), (4.38), 6.41 , 66.20 , 104.50 , 101.35 , 4.11 , 13.10 , 0.27 , -   , -   
 19.00 ," 49,576.18 "," 9,445.24 "," 52,166.13 ", 0.31 , 0.15 , 1.08 , 1.32 , 0.92 , 1.41 , 1.22 , 0.42 , 1.60 , 1.06 ," 29,928.23 ", 7.90 ," 18,772.66 ", 0.34 , 1.39 , 20.87 , 1.36 , 18.01 , 0.30 , 0.09 , -   , (3.84), 2.70 , 0.62 , 0.63 , 0.62 , 34.02 , 53.89 , 2.07 , 0.02 , -   
 20.00 ," 21,681.21 "," 3,513.87 "," 10,026.47 ", (0.16), 0.00 , 0.63 , 0.66 , 0.68 , 1.27 , 1.19 , (0.50), 2.08 , 1.01 ," (4,177.11)", 1.95 ," (16,897.13)", 0.08 , 33.64 , 13.98 , 0.62 , -   , -   , -   , -   , (0.52), (0.84), 0.63 , 2.00 , 1.99 , (0.42), 4.42 , 0.10 , -   , -   
 22.00 ," 20,925.77 "," 9,015.26 "," 9,714.52 ", (0.00), 0.01 , 0.60 , 0.38 , 0.19 , 0.69 , 0.89 , 0.03 , 1.33 , 0.72 ," (4,365.90)", 4.01 ," (18,243.22)", (0.31), 29.62 , 0.55 , 0.85 , -   , -   , 0.16 , -   , (0.25), (0.84), 0.15 , 0.22 , 0.23 , 0.70 , 2.47 , 0.60 , 0.01 , -   
 23.00 ," 37,329.37 "," 4,158.96 "," 16,253.87 ", 0.28 , 0.01 , 0.45 , 0.86 , 0.88 , 0.87 , 0.49 , 0.35 , 1.60 , 0.37 , 924.82 , (7.45)," (5,224.46)", 0.15 , 14.94 , 3.58 , 0.24 , -   , 0.07 , -   , -   , 2.14 , 0.67 , 0.22 , 0.28 , 0.28 , 1.04 , 3.18 , 0.11 , 0.02 , -   
 24.00 ," 113,982.13 "," 18,559.57 "," 38,781.10 ", 0.02 , 0.01 , 0.13 , 0.34 , 0.31 , 0.48 , 0.25 , (0.01), 0.67 , 0.19 ," (7,628.71)", (7.28)," (18,243.22)", (0.31), 51.15 , 4.09 , 0.62 , 172.19 , 0.54 , 0.05 , -   , (0.02), 0.59 , 0.23 , 0.31 , 0.29 , 0.16 , (3.31), 0.11 , 0.04 , -   
 25.00 ," 100,044.79 "," 42,816.71 "," 53,269.44 ", (0.11), 0.03 , 1.85 , 1.96 , 0.62 , 1.51 , 1.40 , (0.64), 1.10 , 1.82 ," 6,398.73 ", (1.83)," 5,288.18 ", 0.30 , 32.88 , 8.42 , 0.24 , -   , 0.34 , 0.05 , 5.01 , -   , (0.17), 0.47 , 0.42 , 0.45 , (2.84), (12.32), (0.02), 0.02 , -   
 30.00 ," 11,143.63 "," 3,161.35 "," 6,381.49 ", 0.33 , 0.09 , 1.08 , 1.12 , 0.83 , 1.47 , 1.30 , 1.65 , 1.55 , 1.14 ," 1,272.74 ", 1.46 , 961.52 , 0.22 , 2.78 , 77.62 , 1.04 , -   , -   , -   , 0.77 , 1.54 , 3.90 , 3.97 , 3.78 , 3.81 , 31.36 , 223.84 , 3.83 , -   , -   
 31.00 ," 9,193.80 "," 4,503.56 "," 11,123.68 ", 0.00 , 0.06 , 0.55 , 1.01 , 0.48 , 0.93 , 0.59 , 0.02 , 3.45 , 0.44 , (198.71), (22.63)," (17,416.89)", (0.02), 4.47 , 2.79 , 0.86 , -   , 0.17 , 0.00 , -   , (4.38), 0.12 , 0.23 , 1.59 , 1.78 , 1.71 , 4.86 , 0.58 , 0.01 , -   
 33.00 ," 119,225.80 "," 14,083.42 "," 28,997.83 ", 0.06 , 0.06 , 1.69 , 1.26 , 0.89 , 1.88 , 2.12 , 0.00 , 1.54 , 1.68 ," 2,482.44 ", (22.90)," 7,712.55 ", 0.27 , 5.39 , 10.88 , 0.63 , -   , 0.20 , 0.06 , 9.14 , 5.38 , 0.78 , 0.22 , 0.15 , 0.14 , 1.98 , 11.07 , 0.39 , 0.01 , -   
 34.00 ," 8,534.05 "," 1,216.00 "," 12,732.14 ", (0.38), 0.02 , 1.79 , 3.31 , 0.46 , 2.36 , 1.59 , (0.59), 1.33 , 1.69 ," (8,913.97)", 5.53 ," (9,108.71)", 0.34 , 51.62 , 9.46 , 1.39 , 66.10 , 0.38 , 0.04 , 1.06 , (0.01), 0.15 , (0.54), (0.25), (0.25), (9.49), (20.06), (1.70), 0.02 , -   
 35.00 ," 384,939.62 "," 160,271.28 "," 165,788.35 ", (0.11), (0.08), 0.62 , 0.34 , 0.19 , 0.48 , 0.69 , (0.23), 0.83 , 0.74 ," 1,146.52 ", 2.20 ," (18,243.22)", (0.31), 21.17 , 0.55 , 0.24 , -   , 0.08 , -   , 0.46 , 0.16 , (0.03), (0.54), 0.09 , 0.10 , (9.49), (16.23), (0.32), 0.05 , -   
 36.00 ," 2,568.88 ", 822.32 ," 1,612.70 ", 0.59 , 0.02 , 1.83 , 2.53 , 0.85 , 2.56 , 1.59 , 1.65 , 4.05 , 1.85 ," 2,243.73 ", (0.97)," 3,104.89 ", 0.53 , 4.21 , 51.98 , 0.63 , 30.46 , 0.39 , 0.13 , -   , 3.55 , 0.41 , 0.13 , 0.16 , 0.15 , 37.63 , 36.84 , 3.60 , 0.04 , -   
 38.00 ," 2,853.78 ", 32.43 ," 2,889.84 ", 0.10 , 0.17 , 3.21 , 4.22 , 0.98 , 4.61 , 3.58 , 0.36 , 7.01 , 3.44 ," 19,103.91 ", 1.80 ," 10,813.77 ", 0.66 , 1.02 , 47.62 , 0.94 , -   , -   , -   , 0.77 , -   , 3.18 , 42.70 , 104.50 , 101.35 , 28.62 , 31.79 , 2.57 , 0.00 , -   
 39.00 ," 3,249.81 "," 2,445.84 "," 6,331.79 ", (0.12), 0.07 , 1.58 , 2.87 , 0.67 , 3.88 , 2.63 , (0.24), 3.76 , 2.03 ," 1,472.20 ", 6.35 ," 2,448.75 ", 0.40 , 3.65 , 50.78 , 1.88 , -   , -   , -   , -   , (1.82), 1.38 , 7.12 , 2.60 , 2.79 , 2.68 , 4.83 , 0.75 , -   , -   
 40.00 ," 34,870.19 "," 4,285.42 "," 82,958.42 ", 0.10 , (0.01), 0.43 , 1.03 , 0.84 , 0.78 , 0.36 , (0.06), 1.10 , 0.19 ," 8,623.52 ", 1.68 ," 2,676.99 ", 0.06 , 5.89 , 1.21 , 1.12 , 4.26 , 0.27 , 0.23 , 0.01 , 5.38 , (0.84), 0.14 , 0.26 , 0.24 , 4.42 , 7.10 , 0.78 , 0.01 , -   
 42.00 ," 27,627.37 "," 15,134.56 "," 11,133.24 ", (0.02), 0.03 , 0.86 , 0.86 , 0.33 , 1.38 , 1.39 , 0.03 , 2.65 , 1.28 ," 1,428.08 ", 1.61 ," (1,388.29)", (0.05), 47.33 , 2.49 , 0.25 , 12.33 , 0.08 , -   , 1.19 , -   , 1.44 , 0.20 , 0.48 , 0.50 , 0.43 , 1.91 , 1.72 , 0.04 , -   
 44.00 ," 1,573.29 ", 32.43 ," 1,920.43 ", (0.27), 0.05 , 3.16 , 2.86 , 0.97 , 4.03 , 3.58 , (0.59), 2.00 , 3.44 ," 4,002.91 ", 14.82 ," 36,076.65 ", 0.66 , 0.93 , 6.25 , 2.70 , 21.76 , 0.40 , -   , -   , (2.06), 3.03 , 0.29 , 0.23 , 0.22 , 1.22 , (0.17), 0.70 , 0.03 , -   
 45.00 ," 13,161.05 "," 7,861.51 "," 16,261.96 ", 0.26 , 0.14 , 0.65 , 0.88 , 0.67 , 1.09 , 0.83 , 0.51 , 1.41 , 0.75 ," 1,110.07 ", 4.50 , (496.41), 0.18 , 3.14 , 33.13 , 2.09 , -   , -   , -   , (0.54), 1.20 , 1.80 , 5.28 , 6.28 , 6.39 , 93.53 , 29.06 , 1.74 , 0.01 , -   
 46.00 ," 9,908.70 "," 7,408.37 "," 48,267.66 ", 0.11 , 0.13 , 2.40 , 2.09 , 0.98 , 2.40 , 2.90 , 0.20 , 2.77 , 2.40 ," 6,521.40 ", 4.42 ," 6,212.29 ", 0.47 , 2.78 , 194.21 , 3.08 , 22.71 , 0.20 , -   , -   , (4.38), 18.12 , 4.95 , 1.35 , 1.23 , 1.73 , (3.94), (0.06), 0.01 , -   
 47.00 ," 7,139.84 ", 340.01 ," 11,863.46 ", 0.17 , 0.02 , 0.79 , 1.22 , 0.75 , 1.93 , 1.46 , 0.71 , 2.03 , 1.29 , 695.21 , (17.80), 285.31 , 0.34 , 5.55 , 27.78 , 1.14 , -   , 0.13 , 0.25 , -   , 0.48 , (0.24), 0.19 , 0.38 , 0.35 , 5.11 , 19.36 , 3.87 , 0.03 , -   
 50.00 ," 13,455.84 "," 7,765.98 "," 8,268.00 ", 0.12 , 0.08 , 3.21 , 1.91 , 0.88 , 2.26 , 3.58 , 0.36 , 3.15 , 3.44 ," 1,592.72 ", 5.52 , (390.62), 0.39 , 6.41 , 57.89 , 0.89 , -   , 0.20 , -   , -   , -   , 8.21 , 0.22 , 0.19 , 0.19 , 5.20 , 22.10 , 1.06 , 0.02 , -   
 51.00 ," 79,842.56 "," 44,765.03 "," 144,336.98 ", 0.09 , (0.02), 0.55 , 1.14 , 0.72 , 1.08 , 0.76 , 0.11 , 2.18 , 0.76 ," 17,000.16 ", 3.11 ," 12,122.82 ", 0.01 , 133.91 , 70.77 , 1.02 , 102.11 , 0.15 , -   , -   , 0.96 , 0.70 , 0.09 , 0.14 , 0.14 , 7.61 , 29.44 , 1.50 , -   , -   
 53.00 ," 46,805.80 "," 31,534.78 "," 115,866.50 ", (0.38), 0.04 , 3.21 , 4.22 , 0.76 , 4.61 , 3.58 , (0.50), 3.12 , 3.44 ," 14,829.17 ", 6.81 ," 18,790.78 ", 0.50 , 3.72 , 16.75 , 1.66 , 4.05 , -   , -   , -   , (2.06), 2.66 , 0.27 , 0.29 , 0.31 , 6.67 , 4.36 , 0.42 , 0.00 , -   
 54.00 ," 22,299.55 ", 32.43 ," 13,675.37 ", 0.27 , 0.06 , 0.59 , 0.96 , 0.72 , 0.90 , 0.49 , 0.40 , 1.45 , 0.47 , 855.82 , (11.58)," (11,223.94)", (0.07), 18.87 , 91.11 , 0.62 , -   , 0.25 , -   , -   , 0.53 , 0.70 , 0.33 , 0.35 , 0.32 , 1.30 , 2.73 , 0.86 , 0.04 , -   
 55.00 ," 9,561.07 "," 5,366.80 "," 2,069.66 ", (0.03), (0.08), 0.98 , 1.71 , 0.76 , 1.78 , 1.05 , (0.15), 1.45 , 0.87 ," 3,348.37 ", (3.72)," 3,609.91 ", 0.32 , 11.08 , 115.07 , 0.37 , 1.25 , 0.06 , -   , -   , -   , (0.84), (0.54), (0.25), (0.25), (2.16), (6.07), (1.70), 0.00 , -   
 56.00 ," 55,398.63 "," 11,171.09 "," 161,847.33 ", (0.00), 0.08 , 3.21 , 4.22 , 0.98 , 4.19 , 3.58 , 0.06 , 7.01 , 3.44 ," 61,458.03 ", 1.38 ," 53,506.47 ", 0.66 , 1.03 , 256.30 , 2.89 , -   , -   , -   , -   , 1.05 , 0.79 , 91.00 , 93.89 , 101.35 , 3.43 , 2.66 , 0.26 , -   , -   
 57.00 ," 110,713.45 "," 45,939.77 "," 65,791.73 ", 0.04 , 0.01 , 1.28 , 1.35 , 0.93 , 3.06 , 2.86 , (0.00), 3.94 , 2.17 ," 61,458.03 ", (7.38)," 53,450.84 ", 0.51 , 11.22 , 7.80 , 0.70 , 8.46 , -   , -   , -   , (0.03), 0.77 , 0.15 , 0.21 , 0.20 , 5.80 , 23.21 , 1.69 , 0.01 , -   
 59.00 ," 3,426.13 ", 32.43 ," 5,856.29 ", 0.12 , 0.03 , 1.15 , 1.11 , 0.89 , 1.18 , 1.26 , 0.33 , 2.69 , 1.14 ," (1,937.59)", 26.99 ," (7,048.50)", 0.10 , 3.43 , 104.54 , 2.41 , -   , 0.22 , -   , (0.54), -   , 0.07 , 0.14 , 0.24 , 0.22 , 21.07 , 13.38 , 1.13 , 0.01 , -   
 61.00 ," 76,785.80 "," 28,814.26 "," 40,150.32 ", 0.13 , 0.31 , 2.33 , 2.08 , 0.60 , 3.97 , 3.01 , 0.58 , 1.89 , 2.89 ," 12,646.99 ", (1.02)," 9,359.66 ", 0.39 , 0.93 , 1.25 , 0.40 , 67.73 , 0.20 , 0.31 , 9.27 , -   , 3.16 , 53.56 , 5.34 , 7.47 , 44.34 , 120.83 , 7.66 , 0.01 , -   
 62.00 ," 18,062.61 "," 12,173.33 "," 24,452.80 ", (0.14), 0.05 , 2.12 , 3.13 , 0.90 , 2.81 , 1.98 , (0.10), 7.01 , 2.55 ," 32,788.69 ", 13.88 ," 14,839.98 ", 0.40 , 1.78 , 243.73 , 0.65 , -   , 0.00 , -   , (0.54), -   , 11.93 , 3.47 , 1.55 , 1.71 , 8.89 , 15.24 , 2.37 , 0.00 , -   
 63.00 ," 5,260.30 "," 2,881.20 "," 3,446.06 ", 0.13 , 0.02 , 1.23 , 2.08 , 0.93 , 2.04 , 1.51 , 0.38 , 1.85 , 1.61 ," 3,654.60 ", 4.43 ," 7,105.36 ", 0.54 , 1.55 , 27.78 , 0.99 , -   , 0.06 , 0.50 , -   , 1.53 , (0.84), 0.87 , 2.22 , 2.18 , 2.96 , 5.07 , 5.60 , 0.01 , -   
 64.00 ," 63,151.69 "," 43,447.70 "," 70,434.74 ", 0.11 , 0.11 , 0.83 , 1.74 , 0.73 , 2.25 , 1.14 , 0.32 , 2.99 , 1.06 ," 21,588.88 ", 4.66 ," 15,673.51 ", 0.53 , 5.89 , 6.73 , 0.73 , 162.43 , 0.23 , -   , 0.21 , -   , 41.60 , 1.98 , 3.18 , 2.70 , 0.97 , 1.75 , 0.05 , 0.03 , -   
 65.00 ," 87,151.86 "," 27,558.61 "," 95,779.03 ", 0.19 , (0.08), 2.62 , 1.74 , 0.93 , 1.78 , 1.89 , 0.53 , 1.84 , 2.02 ," 16,955.53 ", 3.65 ," 10,115.60 ", 0.28 , 4.02 , 135.51 , 1.20 , 10.44 , -   , -   , 1.11 , 5.38 , 0.14 , (0.28), (0.08), (0.13), 0.75 , 2.91 , 0.48 , 0.01 , -   
 67.00 ," 15,356.03 "," 2,149.66 "," 24,530.15 ", (0.33), 0.08 , 0.31 , 0.35 , 0.58 , 0.48 , 0.48 , (0.64), 0.67 , 0.50 ," (8,913.97)", (0.04)," (18,243.22)", (0.06), 32.97 , 0.55 , 0.87 , 172.44 , 0.57 , 0.10 , 0.79 , (0.74), 25.32 , 0.02 , (0.10), (0.00), (9.49), (20.06), (1.70), 0.07 , -   
 68.00 ," 35,716.24 "," 9,089.46 "," 36,234.79 ", (0.08), 0.01 , 1.90 , 1.32 , 0.59 , 1.31 , 1.71 , (0.42), 0.67 , 1.77 , 134.99 , (22.09)," 3,946.44 ", 0.08 , 21.43 , 2.49 , 0.55 , 40.15 , 0.57 , 0.45 , 9.27 , 0.09 , (0.19), 0.14 , 0.25 , 0.25 , 2.02 , 14.90 , 1.35 , 0.02 , -   
 69.00 ," 7,984.91 ", 32.43 ," 5,022.89 ", 0.67 , 0.06 , 0.42 , 0.62 , 0.85 , 0.76 , 0.55 , 1.65 , 1.27 , 0.49 ," (8,634.03)", (0.29)," (18,243.22)", (0.10), 12.11 , 28.32 , 1.25 , -   , 0.00 , -   , (0.54), 0.24 , 4.82 , 2.62 , 2.79 , 2.24 , 158.61 , 223.84 , 36.40 , -   , -   
 71.00 ," 10,907.07 ", 470.00 ," 12,143.29 ", (0.03), 0.06 , 0.93 , 1.24 , 0.93 , 1.36 , 1.21 , (0.19), 2.35 , 1.21 ," 7,023.58 ", 2.67 ," 3,457.16 ", 0.30 , 10.68 , 19.67 , 1.19 , 27.76 , 0.40 , 0.52 , 0.24 , -   , 1.92 , 0.31 , 0.63 , 0.53 , (9.49), (20.06), (0.02), 0.07 , -   
 72.00 ," 113,898.67 "," 71,154.93 "," 300,594.10 ", 0.21 , 0.17 , 1.06 , 1.77 , 0.91 , 1.68 , 1.17 , 0.50 , 1.52 , 0.86 ," 45,063.41 ", 33.50 ," 41,333.44 ", 0.44 , 15.10 , 256.30 , 2.99 , 19.06 , 0.00 , -   , 1.99 , -   , 11.90 , 59.36 , 71.02 , 68.68 , 16.98 , 10.52 , 2.09 , 0.00 , -   
 73.00 ," 35,390.64 "," 9,554.39 "," 101,017.01 ", (0.03), 0.05 , 1.32 , 1.81 , 0.77 , 2.65 , 2.06 , (0.18), 2.74 , 1.54 ," 6,495.29 ", 14.87 ," 5,398.60 ", 0.66 , 14.62 , 3.30 , 3.08 , -   , 0.56 , 0.29 , 0.30 , 0.21 , 0.19 , 0.10 , 0.33 , 0.34 , (9.49), (20.06), (1.68), 0.04 , -   
 76.00 ," 18,184.63 "," 8,654.80 "," 132,581.27 ", 0.06 , 0.16 , 0.78 , 1.71 , 0.98 , 1.83 , 1.01 , 0.07 , 1.65 , 0.95 ," 12,012.35 ", 33.50 ," 16,669.59 ", 0.52 , 3.07 , 256.30 , 3.08 , -   , -   , -   , -   , -   , 5.56 , 59.18 , 89.41 , 82.67 , 12.63 , 33.83 , 3.88 , -   , -   
 78.00 ," 5,418.94 "," 4,366.57 "," 12,283.47 ", 0.10 , 0.01 , 0.75 , 1.37 , 0.72 , 1.35 , 0.77 , 0.11 , 3.00 , 0.62 ," 2,656.03 ", 3.03 , (321.11), 0.22 , 10.02 , 105.60 , 1.35 , 77.33 , 0.16 , 0.01 , 2.13 , -   , 0.01 , 0.20 , 0.32 , 0.31 , 12.21 , 6.48 , 3.39 , 0.01 , -   
 79.00 ," 26,129.26 "," 12,244.16 "," 39,695.78 ", 0.33 , (0.01), 1.57 , 1.28 , 0.94 , 1.87 , 1.81 , 1.65 , 2.86 , 1.88 ," 5,740.58 ", 2.24 ," 5,021.10 ", 0.31 , 4.02 , 73.41 , 1.64 , -   , 0.29 , -   , -   , 3.30 , (0.43), (0.54), (0.25), (0.25), 0.68 , 1.27 , 0.06 , 0.01 , -   
 80.00 ," 13,734.92 "," 4,291.17 "," 2,199.32 ", 0.07 , (0.08), 0.32 , 0.52 , 0.59 , 0.69 , 0.50 , 0.13 , 0.87 , 0.44 ," 1,664.31 ", (0.24)," (5,236.48)", (0.16), 12.74 , 16.72 , 0.24 , 68.06 , 0.14 , -   , (0.54), -   , 0.17 , (0.54), (0.25), (0.25), 8.35 , 3.13 , 0.55 , 0.07 , -   
 82.00 ," 12,292.51 "," 3,987.02 "," 10,283.82 ", (0.18), 0.04 , 0.43 , 2.00 , 0.91 , 2.77 , 0.88 , (0.31), 2.78 , 0.57 ," 9,729.51 ", 3.05 ," 8,079.98 ", 0.48 , 96.25 , 3.17 , 1.19 , 150.10 , 0.57 , 0.25 , 3.79 , (2.01), 0.22 , 0.06 , 0.16 , 0.17 , 0.97 , 1.62 , 0.60 , 0.04 , -   
 83.00 ," 78,783.35 "," 46,937.55 "," 206,457.81 ", 0.19 , (0.07), 2.56 , 4.22 , 0.81 , 4.61 , 3.58 , 0.57 , 2.91 , 3.30 ," 21,556.82 ", 33.50 ," 53,506.47 ", 0.58 , 1.67 , 7.80 , 2.11 , -   , -   , 0.08 , -   , -   , (0.84), 0.68 , 2.24 , 2.17 , 158.61 , 223.84 , 44.51 , -   , -   
 84.00 ," 8,584.73 "," 4,753.01 "," 23,317.33 ", (0.05), 0.03 , 0.54 , 1.15 , 0.98 , 1.55 , 0.91 , (0.16), 2.17 , 0.62 , 630.65 , (5.43)," 2,978.33 ", 0.41 , 2.22 , 190.60 , 1.36 , -   , 0.20 , -   , -   , -   , 0.23 , 0.17 , 0.15 , 0.14 , (0.30), (3.24), (0.08), 0.01 , -   
 85.00 ," 99,417.11 "," 21,498.23 "," 126,153.32 ", 0.03 , (0.01), 0.17 , 0.63 , 0.48 , 0.93 , 0.45 , (0.14), 1.09 , 0.36 ," 1,189.20 ", 2.07 , (340.50), (0.06), 15.85 , 7.63 , 0.96 , 172.24 , 0.48 , -   , -   , -   , 0.97 , (0.54), (0.25), (0.25), 1.57 , 9.35 , 0.96 , 0.07 , -   
 86.00 ," 96,084.35 "," 38,690.39 "," 48,804.52 ", (0.09), (0.08), 1.35 , 1.51 , 0.86 , 1.78 , 1.52 , (0.17), 1.62 , 1.48 ," 9,004.70 ", 0.85 ," 7,348.22 ", 0.36 , 4.52 , 19.93 , 0.42 , -   , 0.00 , -   , -   , (0.04), 0.80 , 0.58 , 0.48 , 0.46 , (0.03), (1.10), (0.05), 0.00 , -   
 88.00 ," 19,736.88 "," 9,726.51 "," 13,597.66 ", 0.21 , 0.03 , 3.21 , 2.84 , 0.85 , 1.86 , 2.93 , 0.52 , 1.61 , 3.44 ," 4,158.68 ", 16.57 ," 5,018.29 ", 0.32 , 3.03 , 256.30 , 1.25 , -   , -   , -   , 0.08 , (4.38), 0.76 , 0.41 , 0.33 , 0.33 , 10.06 , 44.50 , 2.23 , 0.00 , -   
 89.00 ," 155,043.32 "," 39,877.04 "," 244,927.67 ", 0.08 , 0.08 , 1.99 , 2.11 , 0.94 , 2.32 , 2.07 , 0.25 , 4.31 , 1.91 ," 61,458.03 ", 1.69 ," 53,506.47 ", 0.43 , 1.47 , 109.57 , 1.04 , -   , -   , -   , -   , -   , 2.28 , 7.35 , 6.71 , 6.16 , 16.69 , 28.90 , 3.79 , -   , -   
 91.00 ," 384,939.62 "," 160,271.28 "," 300,594.10 ", 0.00 , 0.10 , 3.21 , 4.22 , 0.63 , 4.61 , 3.58 , 0.06 , 1.98 , 3.44 ," 61,458.03 ", 4.08 ," 53,506.47 ", 0.66 , 2.77 , 10.93 , 0.32 , 9.43 , -   , 0.30 , 9.27 , 2.31 , 0.77 , 15.41 , 2.75 , 2.94 , 0.07 , 11.09 , 0.35 , -   , -   
