 Obs_ID ,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33, default 
" 12,113.00 "," 14,114.50 ", 32.43 ," 7,390.28 ", 0.21 , 0.04 , 0.29 , 0.34 , 0.92 , 0.48 , 0.49 , 0.52 , 1.48 , 0.43 , (362.38), 4.43 ," (18,243.22)", (0.12), 53.01 , 3.29 , 0.61 , -   , 0.57 , 0.46 , 0.11 , 1.94 , 0.29 , (0.39), 0.00 , (0.05), 4.95 , 27.00 , 1.27 , 0.05 , -   
" 12,114.00 "," 1,658.31 ", 32.43 ," 5,282.51 ", (0.12), 0.19 , 0.85 , 2.64 , 0.98 , 2.40 , 1.01 , (0.42), 4.12 , 1.00 ," 7,417.45 ", 3.37 ," 11,508.01 ", 0.61 , 4.36 , 19.53 , 2.10 , 134.61 , 0.23 , -   , 0.46 , -   , 41.60 , 0.94 , 0.81 , 0.84 , (0.39), (15.38), (0.79), 0.03 , -   
" 12,116.00 "," 87,413.29 "," 74,629.11 "," 69,939.19 ", (0.06), 0.10 , 2.26 , 1.79 , 0.53 , 1.94 , 2.30 , (0.15), 7.01 , 2.15 ," 36,254.17 ", 2.46 ," 6,872.64 ", 0.30 , 1.25 , 7.37 , 0.76 , -   , -   , 0.41 , -   , -   , 0.33 , 56.63 , 104.50 , 101.35 , 5.39 , 5.50 , 2.17 , -   , -   
" 12,117.00 "," 120,617.25 "," 22,869.55 "," 172,079.18 ", (0.16), (0.08), 0.64 , 0.74 , 0.79 , 1.02 , 0.91 , (0.37), 1.12 , 0.86 ," 4,389.23 ", 2.74 ," 6,010.81 ", 0.01 , 27.49 , 57.50 , 0.88 , -   , 0.35 , -   , -   , -   , 0.47 , 0.12 , 0.19 , 0.19 , (9.49), (20.06), (1.70), 0.03 , -   
" 12,118.00 "," 216,405.40 "," 60,684.18 "," 206,335.45 ", 0.22 , 0.06 , 0.95 , 0.87 , 0.30 , 0.66 , 0.80 , 1.49 , 1.36 , 0.87 ," 12,544.11 ", (0.22)," 3,571.04 ", (0.26), 42.83 , 3.51 , 0.90 , -   , 0.13 , 0.13 , 4.81 , 2.73 , 0.41 , 2.21 , 1.92 , 1.91 , (1.00), 2.47 , 0.19 , 0.01 , -   
" 12,119.00 "," 3,896.29 ", 32.43 ," 11,433.06 ", 0.10 , 0.28 , 1.02 , 0.59 , 0.73 , 0.69 , 1.09 , 0.08 , 1.40 , 1.13 ," (8,913.97)", (8.99)," (18,243.22)", (0.26), 8.00 , 92.01 , 2.73 , -   , 0.41 , 0.33 , 0.82 , -   , 0.90 , 0.31 , 0.16 , 0.17 , 0.49 , 7.21 , 0.05 , 0.01 , -   
" 12,120.00 "," 38,304.07 "," 37,246.25 "," 7,656.49 ", (0.12), 0.01 , 1.24 , 3.00 , 0.51 , 4.61 , 2.06 , (0.13), 3.29 , 1.61 ," 6,443.46 ", 1.90 ," 13,570.64 ", 0.60 , 1.76 , 2.23 , 0.24 , 58.52 , 0.43 , 0.46 , 4.03 , 0.03 , 0.21 , 0.17 , 0.18 , 0.16 , 2.26 , 40.55 , 1.50 , 0.03 , -   
" 12,122.00 "," 181,430.39 "," 160,271.28 "," 300,594.10 ", 0.27 , 0.15 , 3.21 , 3.78 , 0.53 , 4.61 , 3.08 , 1.65 , 3.46 , 2.57 ," 61,458.03 ", 23.13 ," 53,506.47 ", 0.63 , 2.82 , 2.23 , 2.07 , 10.69 , 0.00 , 0.52 , 9.27 , 0.96 , 0.04 , 8.19 , 14.00 , 13.60 , 69.07 , 223.84 , 29.18 , 0.00 , 1.00 
" 12,124.00 "," 12,885.66 "," 15,019.73 "," 28,088.40 ", (0.39), 0.02 , 3.21 , 4.22 , 0.91 , 4.61 , 3.58 , (0.64), 6.96 , 3.44 ," 26,024.31 ", 1.90 ," 36,128.52 ", 0.66 , 1.10 , 12.66 , 1.83 , -   , -   , -   , -   , (4.38), 1.69 , 1.73 , 2.74 , 3.11 , 0.69 , (1.17), 0.20 , 0.00 , -   
" 12,125.00 "," 100,163.23 "," 17,381.87 "," 87,588.16 ", 0.12 , 0.04 , 1.11 , 1.42 , 0.49 , 1.78 , 1.46 , 0.42 , 1.63 , 1.40 ," 6,441.94 ", (2.49)," 6,549.52 ", 0.13 , 4.84 , 3.14 , 0.81 , -   , 0.02 , 0.07 , -   , 0.35 , (0.41), 1.40 , 4.26 , 5.36 , 2.53 , 6.48 , 0.38 , 0.00 , -   
" 12,126.00 "," 6,986.54 "," 1,804.68 "," 30,270.37 ", 0.00 , (0.00), 0.62 , 0.80 , 0.88 , 1.07 , 0.93 , (0.07), 1.15 , 0.81 ," (7,741.14)", 4.57 ," (1,169.70)", 0.14 , 8.08 , 70.98 , 1.93 , -   , -   , 0.16 , -   , -   , (0.49), 0.26 , 0.44 , 0.39 , 0.81 , 4.50 , 0.56 , 0.00 , -   
" 12,128.00 "," 8,033.04 "," 19,053.87 "," 10,456.65 ", 0.34 , 0.15 , 3.21 , 4.22 , 0.98 , 4.47 , 3.58 , 1.04 , 7.01 , 3.36 ," 26,677.00 ", 2.40 ," 22,839.18 ", 0.66 , 0.93 , 249.00 , 1.59 , -   , -   , -   , -   , -   , 41.60 , 91.00 , 104.50 , 101.35 , 16.78 , 33.74 , 6.80 , 0.02 , -   
" 12,131.00 "," 12,887.25 "," 7,043.45 "," 63,378.38 ", 0.31 , 0.06 , 1.24 , 2.01 , 0.74 , 1.69 , 1.50 , 0.92 , 1.52 , 1.43 , 387.44 , 5.97 , 278.43 , 0.18 , 4.32 , 25.48 , 3.08 , -   , 0.05 , -   , 0.99 , 0.49 , 1.64 , 6.39 , 2.51 , 2.45 , 1.32 , 1.30 , 2.21 , 0.01 , -   
" 12,132.00 "," 384,939.62 "," 151,343.82 "," 300,594.10 ", 0.27 , 0.25 , 1.60 , 2.91 , 0.58 , 1.84 , 1.47 , 1.65 , 1.37 , 1.23 ," 13,558.11 ", 4.41 ," 12,110.21 ", 0.38 , 2.42 , 1.23 , 0.88 , -   , -   , 0.00 , -   , -   , 31.70 , 91.00 , 104.50 , 101.35 , 158.61 , 223.84 , 3.25 , -   , -   
" 12,133.00 "," 10,191.01 ", 272.48 ," 10,670.99 ", 0.08 , 0.03 , 1.01 , 0.89 , 0.94 , 0.99 , 0.99 , 0.12 , 1.50 , 1.00 ," (8,913.97)", 2.55 ," (18,243.22)", 0.07 , 3.24 , 200.20 , 1.31 , -   , -   , -   , -   , -   , 0.35 , 0.30 , 0.72 , 0.69 , 0.84 , 1.05 , (0.53), 0.00 , -   
" 12,136.00 "," 31,905.86 "," 9,605.46 "," 15,801.66 ", 0.06 , 0.03 , 0.13 , 0.46 , 0.53 , 0.61 , 0.26 , 0.11 , 0.75 , 0.19 , 874.13 , (7.62)," (1,564.67)", (0.26), 33.21 , 1.60 , 0.61 , 176.65 , 0.57 , 0.52 , 2.77 , 0.50 , 1.60 , (0.54), 0.02 , (0.05), (9.49), (20.06), (1.70), 0.07 , -   
" 12,137.00 "," 12,653.14 "," 8,410.54 "," 16,997.05 ", (0.08), 0.17 , 1.27 , 0.63 , 0.51 , 0.86 , 1.42 , (0.10), 1.65 , 1.25 ," (8,913.97)", 4.37 ," (18,243.22)", (0.14), 13.07 , 4.28 , 1.35 , -   , -   , -   , 0.83 , -   , 8.38 , 13.54 , 41.76 , 36.02 , 1.88 , 4.33 , 1.15 , 0.00 , -   
" 12,138.00 "," 47,325.00 "," 19,986.80 "," 61,842.27 ", 0.02 , 0.20 , 1.45 , 1.96 , 0.48 , 2.36 , 1.93 , 0.21 , 1.65 , 2.12 ," 6,772.91 ", 19.67 ," 11,155.75 ", 0.33 , 0.93 , 2.04 , 1.08 , -   , 0.00 , -   , 0.66 , -   , 9.49 , 16.39 , 34.90 , 28.56 , 2.65 , 14.44 , 0.13 , 0.00 , -   
" 12,140.00 "," 47,494.23 "," 37,117.90 "," 30,201.65 ", 0.19 , 0.01 , 1.99 , 1.77 , 0.49 , 1.60 , 1.58 , 0.72 , 1.79 , 1.62 ," 3,182.36 ", 4.12 , 615.03 , 0.19 , 5.53 , 5.10 , 0.87 , -   , 0.09 , -   , -   , (0.66), 0.42 , 0.14 , 0.21 , 0.18 , 26.90 , 62.79 , 3.01 , 0.01 , -   
" 12,141.00 "," 46,889.66 "," 7,313.66 "," 24,848.91 ", 0.03 , (0.01), 0.55 , 0.62 , 0.88 , 1.06 , 0.79 , (0.17), 1.65 , 0.53 ," 5,414.57 ", 0.56 , 786.39 , 0.03 , 63.10 , 9.68 , 0.95 , -   , 0.46 , -   , 0.88 , -   , 1.17 , (0.54), (0.25), (0.25), (0.34), 1.05 , (0.17), 0.07 , -   
" 12,142.00 "," 384,939.62 "," 69,517.40 "," 73,314.64 ", (0.08), (0.08), 0.93 , 0.81 , 0.26 , 1.28 , 1.31 , (0.15), 0.85 , 1.21 ," 2,306.99 ", 1.83 ," 3,043.06 ", (0.05), 11.45 , 1.39 , 0.24 , 39.15 , 0.48 , 0.20 , 4.54 , 0.85 , (0.84), (0.54), 0.09 , 0.06 , (9.49), (20.06), (0.16), 0.03 , -   
" 12,143.00 "," 31,364.18 "," 13,292.18 "," 29,660.47 ", 0.02 , 0.03 , 1.08 , 1.14 , 0.78 , 1.26 , 1.19 , 0.07 , 2.81 , 1.01 ," 8,842.25 ", 2.96 ," 2,437.30 ", 0.24 , 14.30 , 8.99 , 1.10 , -   , -   , -   , 1.34 , 0.04 , 0.65 , 0.61 , 1.99 , 2.14 , (9.49), (6.97), 0.17 , 0.01 , -   
" 12,145.00 "," 8,026.63 "," 2,512.19 "," 9,499.53 ", 0.06 , (0.08), 0.92 , 1.00 , 0.83 , 1.26 , 1.27 , 0.14 , 1.28 , 1.01 , 638.25 , 1.41 , 432.61 , 0.12 , 4.45 , 34.06 , 0.88 , -   , -   , 0.01 , -   , -   , (0.84), 0.18 , 0.92 , 0.89 , (3.25), (20.06), (0.22), 0.01 , -   
" 12,146.00 "," 11,846.57 "," 3,239.36 "," 19,158.05 ", (0.06), 0.02 , 1.15 , 0.96 , 0.85 , 1.58 , 1.88 , (0.21), 1.98 , 1.49 ," 3,813.24 ", 0.66 ," 3,462.82 ", 0.14 , 8.22 , 72.69 , 1.35 , -   , 0.05 , 0.15 , -   , -   , (0.03), 0.20 , 0.45 , 0.41 , 0.99 , 2.63 , 0.20 , -   , -   
" 12,147.00 "," 13,044.88 "," 3,231.39 "," 10,403.19 ", 0.02 , 0.02 , 1.15 , 1.49 , 0.83 , 2.49 , 2.91 , (0.07), 3.11 , 1.78 , 736.04 , (2.14), (540.01), 0.39 , 1.05 , 41.95 , 0.84 , -   , -   , -   , 1.09 , -   , 4.87 , 2.33 , 3.24 , 2.84 , (0.03), 3.40 , 0.18 , 0.00 , -   
" 12,148.00 "," 35,761.74 "," 46,291.30 "," 33,690.03 ", (0.11), (0.02), 3.21 , 4.22 , 0.98 , 4.61 , 3.58 , (0.08), 7.01 , 3.44 ," 61,458.03 ", 2.58 ," 53,506.47 ", 0.66 , 4.96 , 92.17 , 0.60 , 139.41 , 0.14 , -   , -   , -   , 4.59 , 0.10 , (0.25), (0.25), (2.69), (14.77), (0.73), 0.01 , -   
" 12,149.00 "," 21,189.67 "," 8,157.02 "," 23,120.24 ", 5.83 , 0.14 , 2.39 , 4.22 , 0.91 , 4.61 , 2.56 , 1.65 , 3.25 , 2.52 ," 14,212.00 ", 33.00 ," 22,721.35 ", 0.66 , 7.82 , 66.74 , 1.49 , -   , -   , -   , -   , 0.76 , 1.10 , 91.00 , 104.50 , 101.35 , 158.61 , 223.84 , 30.02 , -   , -   
" 12,150.00 "," 384,939.62 "," 131,754.39 "," 99,380.10 ", (0.03), 0.03 , 0.70 , 1.21 , 0.76 , 1.22 , 0.72 , (0.18), 1.03 , 0.71 ," 9,620.34 ", 3.90 ," 11,994.67 ", 0.13 , 3.33 , 1.18 , 0.36 , -   , 0.05 , 0.03 , -   , -   , (0.49), 0.36 , 0.73 , 0.69 , 0.17 , (3.00), 0.30 , 0.03 , -   
" 12,153.00 "," 63,327.98 "," 23,910.75 "," 32,713.26 ", (0.12), (0.08), 0.63 , 0.86 , 0.33 , 1.41 , 1.09 , (0.18), 3.73 , 0.71 ," 11,036.73 ", 2.73 ," 3,020.31 ", 0.26 , 17.97 , 0.55 , 0.40 , -   , -   , 0.01 , -   , -   , (0.84), (0.54), (0.06), (0.08), 2.63 , 8.02 , 6.92 , 0.01 , -   
" 12,154.00 "," 15,603.92 "," 3,857.57 "," 59,972.18 ", 0.29 , 0.08 , 1.24 , 0.93 , 0.80 , 1.41 , 1.71 , 1.55 , 2.25 , 1.94 ," 3,322.55 ", 9.99 , 403.35 , 0.18 , 3.00 , 5.85 , 3.08 , 0.00 , 0.49 , 0.10 , 2.99 , 1.20 , 8.67 , 1.75 , 3.19 , 2.74 , 19.82 , 28.34 , 24.25 , 0.03 , -   
" 12,156.00 "," 1,872.05 ", 32.43 ," 4,071.82 ", (0.00), 0.02 , 0.63 , 0.98 , 0.94 , 1.56 , 1.06 , (0.16), 2.82 , 0.93 ," (1,380.70)", (14.83)," (6,079.81)", 0.28 , 24.99 , 256.30 , 1.91 , -   , 0.05 , -   , -   , (0.18), 1.31 , 0.45 , 0.47 , 0.46 , (8.30), (12.53), (0.56), 0.01 , -   
" 12,157.00 "," 35,712.99 "," 23,004.83 "," 37,650.22 ", 0.23 , 0.02 , 1.38 , 1.92 , 0.57 , 2.00 , 1.71 , 0.58 , 4.11 , 2.03 ," 13,949.25 ", 1.81 ," 2,301.57 ", 0.15 , 1.75 , 19.61 , 0.43 , -   , 0.04 , -   , -   , 0.06 , 3.44 , 1.15 , 3.79 , 3.82 , 29.23 , 54.74 , 1.89 , 0.00 , -   
" 12,158.00 "," 52,088.75 "," 15,900.69 "," 55,595.41 ", (0.10), 0.07 , 0.22 , 0.71 , 0.28 , 1.05 , 0.65 , (0.17), 1.03 , 0.53 , (856.10), 2.58 , (472.06), (0.02), 18.19 , 9.68 , 1.19 , -   , 0.30 , 0.06 , 3.59 , -   , 1.31 , 0.35 , 0.30 , 0.33 , 1.34 , 10.35 , 0.75 , 0.01 , -   
" 12,159.00 "," 27,510.94 "," 1,262.93 "," 10,455.69 ", 0.13 , (0.08), 1.19 , 0.78 , 0.89 , 0.95 , 1.39 , 0.29 , 2.37 , 1.48 ," 5,236.25 ", 3.43 ," (3,338.34)", 0.13 , 2.09 , 12.99 , 0.26 , -   , -   , -   , 0.01 , -   , 0.21 , 0.12 , 0.18 , 0.18 , 1.55 , 1.59 , 0.93 , 0.02 , 1.00 
" 12,160.00 "," 384,939.62 "," 160,271.28 "," 300,594.10 ", (0.28), 0.08 , 1.00 , 1.65 , 0.92 , 1.84 , 1.21 , (0.64), 2.12 , 1.49 ," 61,458.03 ", 4.72 ," 53,506.47 ", 0.49 , 2.80 , 19.97 , 0.24 , 67.25 , 0.17 , -   , -   , (1.47), 2.39 , 0.69 , 0.52 , 0.51 , (6.05), (18.19), (1.70), 0.02 , -   
" 12,161.00 "," 24,561.66 "," 2,750.16 "," 27,371.02 ", (0.11), 0.01 , 0.92 , 1.22 , 0.89 , 1.31 , 1.04 , (0.43), 1.99 , 1.02 ," 4,424.62 ", 7.41 ," 1,078.22 ", 0.21 , 20.37 , 14.48 , 1.32 , 0.45 , 0.38 , -   , 1.09 , 1.27 , 3.02 , 0.12 , (0.08), (0.07), (0.36), (1.93), (0.18), 0.03 , -   
" 12,162.00 "," 31,586.78 "," 6,123.92 "," 75,741.87 ", (0.13), (0.08), 0.88 , 2.09 , 0.98 , 2.72 , 1.28 , (0.64), 1.64 , 1.34 ," 18,857.84 ", 16.32 ," 45,119.10 ", 0.60 , 9.51 , 110.93 , 1.67 ," 1,028.44 ", 0.57 , 0.02 , 1.99 , (1.77), (0.12), (0.54), (0.25), (0.25), (2.64), (12.99), (1.70), 0.03 , -   
" 12,164.00 "," 107,937.18 "," 42,366.91 "," 30,002.70 ", 0.10 , 0.00 , 0.68 , 1.24 , 0.73 , 1.46 , 1.04 , 0.35 , 1.44 , 1.00 ," 2,560.92 ", (22.90), 517.30 , 0.19 , 15.89 , 8.62 , 0.24 , 52.51 , 0.07 , 0.03 , -   , 0.00 , (0.84), 0.12 , 0.33 , 0.33 , 2.12 , 5.71 , 1.15 , 0.02 , -   
" 12,165.00 "," 27,047.13 "," 5,472.16 "," 22,847.94 ", 0.11 , (0.02), 0.46 , 0.98 , 0.46 , 1.15 , 0.66 , 0.44 , 1.81 , 0.62 ," 2,284.08 ", (3.49)," (9,724.34)", 0.10 , 22.10 , 3.48 , 0.68 , 57.96 , 0.07 , 0.23 , 2.93 , 5.38 , 0.02 , 0.07 , 0.46 , 0.47 , 1.62 , 11.37 , 1.06 , 0.01 , -   
" 12,168.00 "," 18,512.08 "," 8,700.05 "," 5,306.85 ", (0.13), (0.08), 0.19 , 0.67 , 0.37 , 0.64 , 0.29 , (0.23), 0.93 , 0.23 ," (8,913.97)", (0.74)," (18,243.22)", (0.31), 63.64 , 1.20 , 0.28 , -   , 0.20 , 0.26 , -   , (2.65), (0.84), 0.11 , 0.32 , 0.31 , 1.52 , (1.87), 0.58 , 0.07 , -   
